title,artist,album,year,genre,label,file_path,tempo,timbre
Red Sky,Pearson Sound,Red Sky,2022,,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Red Sky EP [2022] [EP]/01 - Red Sky.mp3,135.99917763157896,"-144.20854,71.09112,25.306356,37.599026,20.357597,20.832603,13.201492,17.069754,10.968259,8.839643,2.4979715,5.958133,-0.44471514,2.6806262,1.1655445,3.9872944,1.1904202,4.615106,-0.5551265,3.4253924"
Sinkhole,Pearson Sound,Red Sky,2022,,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Red Sky EP [2022] [EP]/02 - Sinkhole.mp3,129.19921875,"-158.02542,70.20513,19.818434,30.341625,22.105015,19.180017,12.0363865,19.536232,12.236854,15.655575,5.950213,4.1107717,-0.9486786,5.3203073,4.3779726,4.3726697,0.69793373,2.585454,0.29098055,-0.32834136"
Freefall,Pearson Sound,Red Sky,2022,,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Red Sky EP [2022] [EP]/03 - Freefall.mp3,129.19921875,"-230.57858,101.03542,34.012802,33.64192,17.06907,9.031396,3.7873254,5.0056233,-0.7515662,3.2280903,-3.3607848,4.0192943,0.32117322,0.9956982,-0.2354273,-0.029046431,-2.6741905,0.6460651,1.1649331,6.488592"
Around In Circles,Pearson Sound,Red Sky,2022,,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Red Sky EP [2022] [EP]/04 - Around In Circles.mp3,161.4990234375,"-231.55026,132.45955,41.08088,13.5268135,13.5351925,15.970286,5.972808,15.113177,6.3732743,8.214365,4.335921,3.4020255,2.854958,3.1629102,-1.6434436,3.8275676,-2.809932,2.8616889,-4.333633,8.21248"
Lola,Pearson Sound,Starburst,2013,,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Starburst [HES026]/01 Lola.mp3,117.45383522727273,"-193.27092,74.7677,35.582146,28.56836,15.625515,14.332056,3.4779537,17.8507,7.429,7.5930114,2.0996444,6.142466,-0.6242235,6.3169084,-0.764796,4.464478,-1.7220176,2.536301,0.3242488,1.9039925"
Power Drumsss,Pearson Sound,Starburst,2013,,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Starburst [HES026]/02 Power Drumsss.mp3,83.35433467741936,"-135.17741,33.012222,19.016985,20.278765,2.3825574,17.71803,3.0644538,7.223754,-1.251242,5.3137846,-2.3751144,3.7067866,-2.3784146,2.7177076,0.3136024,2.2924383,-3.1243663,1.3184468,-0.6027553,4.710366"
Starburst,Pearson Sound,Starburst,2013,,Hessle Audio,/mnt/d/MIR_music/Hessle/Pearson Sound - Starburst [HES026]/03 Starburst.mp3,129.19921875,"-88.00336,70.17279,-6.987461,10.886513,-2.6096737,8.318719,-3.2135174,3.9151838,-0.5306147,4.0999846,-3.091095,1.4092953,-1.7309203,0.12909742,-5.1316547,1.8514504,0.020026475,4.0924106,-3.4309132,-1.8865194"
Raw Code,Pev & Kowton,HES024,2013,,Hessle Audio,/mnt/d/MIR_music/Hessle/Pev & Kowton - Raw Code HES024 (2013) [320]/01 Raw Code.mp3,161.4990234375,"-134.06424,74.65305,-2.814489,19.665195,12.934394,8.028898,-0.79840934,9.296982,0.98514485,5.7395205,0.57427466,7.3467693,1.3314191,6.5667386,4.726161,5.807256,1.6132193,4.455834,2.4802976,5.1580687"
Junked,Pev & Kowton,HES024,2013,,Hessle Audio,/mnt/d/MIR_music/Hessle/Pev & Kowton - Raw Code HES024 (2013) [320]/02 Junked.mp3,151.99908088235293,"-227.1728,83.64365,-3.6098971,32.26699,25.26541,25.377655,19.954062,18.488548,8.071243,15.672228,14.188605,11.616974,6.343452,8.297256,3.3649678,6.642255,5.2875586,4.9374657,2.8214166,8.361466"
Dance Til the Police Come,Peverelist,Dance Til the Police Come,2011-04-04,,Hessle Audio 2011,/mnt/d/MIR_music/Hessle/Peverelist - Dance Til the Police Come [HES018]/01 - Dance Til the Police Come.mp3,107.666015625,"-75.183464,47.179028,14.676902,17.020891,12.936469,14.419552,6.7325325,8.550967,3.2053516,18.727781,4.2952013,14.3279705,2.0120049,6.814657,3.875116,7.092518,0.49553114,2.3322933,-5.2658625,1.7973865"
Fundamentals,Peverelist,Dance Til the Police Come,2011-04-04,,Hessle Audio 2011,/mnt/d/MIR_music/Hessle/Peverelist - Dance Til the Police Come [HES018]/02 - Fundamentals.mp3,135.99917763157896,"-106.63065,66.96622,13.287832,1.8197758,-10.1907625,7.8290267,-7.253585,11.386334,3.715001,10.81573,3.521866,8.78257,1.563987,3.8486302,0.1427121,4.8871355,-3.4399798,3.7347875,3.976972,14.510332"
Sala One Five,Ploy,Sala One Five,2016,Techno,Hessle Audio,/mnt/d/MIR_music/Hessle/Ploy - Sala One Five [HES028]/01 Sala One Five.mp3,129.19921875,"-53.063248,30.448875,23.568737,25.726492,7.9408226,25.148994,9.074734,6.7323856,-0.76124036,4.943075,-3.3976376,7.723563,4.625477,10.541536,13.233084,17.318283,5.668421,1.1342021,-6.440944,3.6213124"
Move Yourself,Ploy,Sala One Five,2016,Techno,Hessle Audio,/mnt/d/MIR_music/Hessle/Ploy - Sala One Five [HES028]/02 Move Yourself.mp3,123.046875,"-88.325554,110.72345,-10.572613,10.387924,7.0437694,17.83515,1.7367454,7.476108,5.3425646,2.1276915,-5.7826996,3.073107,4.776925,1.4124099,0.65415055,1.3249657,-1.073366,0.5241997,-5.652546,-0.21325737"
Helix,Ploy,Sala One Five,2016,Techno,Hessle Audio,/mnt/d/MIR_music/Hessle/Ploy - Sala One Five [HES028]/03 Helix.mp3,89.10290948275862,"-114.994194,109.20823,1.7401006,43.64676,7.008569,19.953758,-2.8932078,11.942288,-8.071884,3.8597343,-14.097309,-0.53632003,-6.9875565,4.582928,-8.209297,-0.7171011,3.383121,7.615217,-2.5970852,3.6477113"
I Beg You,Ramadanman,Ramadanman EP,2010-04-05,,Hessle Audio,/mnt/d/MIR_music/Hessle/Ramadanman - (2010-04-05) Ramadanman EP [HES012] [MP3 320 44]/01 - I Beg You.mp3,135.99917763157896,"-197.17247,82.931496,8.945046,22.903988,-4.0337067,13.717537,2.0897849,5.6257176,1.6605042,5.71041,-0.25019127,3.7784548,3.7796807,3.9357412,1.2256058,1.4046005,1.3721019,1.8309375,2.6200097,3.7663894"
No Swing,Ramadanman,Ramadanman EP,2010-04-05,,Hessle Audio,/mnt/d/MIR_music/Hessle/Ramadanman - (2010-04-05) Ramadanman EP [HES012] [MP3 320 44]/02 - No Swing.mp3,135.99917763157896,"-162.2248,96.1168,-5.712533,19.357037,-0.4175339,13.271409,3.4608097,8.755582,0.3685121,3.0352745,-2.7514198,4.5444875,0.12905343,4.956295,-0.9054691,3.7292519,3.1909556,3.9406807,-2.1332414,0.4072832"
Tumble,Ramadanman,Ramadanman EP,2010-04-05,,Hessle Audio,/mnt/d/MIR_music/Hessle/Ramadanman - (2010-04-05) Ramadanman EP [HES012] [MP3 320 44]/03 - Tumble.mp3,92.28515625,"-221.91107,47.30914,-7.949918,4.464418,0.28842878,9.350206,-8.693811,3.013009,-3.6299782,-0.024702126,-2.4573185,3.2073693,2.9987793,0.5508269,0.53644097,3.8975399,-2.197539,3.2976327,-0.26303276,5.8845167"
