,title,artist,album,year,genre,label,file_path,tempo,timbre,genres,styles
33,Vision,Aaron Rutherford,Changing Contrast,2022,,Unknown to the Unknown,/mnt/d/UTTU/Aaron Rutherford - Changing Contrast/Aaron Rutherford - Changing Contrast - 03 Vision.mp3,123.046875,"-124.40594,80.889946,60.05625,20.626392,17.307045,12.183325,2.138118,7.5057764,-4.127397,-0.3465541,-6.791148,-2.9627583,-2.0682979,1.0479807,-2.1872141,-1.2656195,-5.3734794,-1.7174093,-1.7913325,1.5995154",Search Failed,Search Failed
34,Retract,Aaron Rutherford,Changing Contrast,2022,,Unknown to the Unknown,/mnt/d/UTTU/Aaron Rutherford - Changing Contrast/Aaron Rutherford - Changing Contrast - 04 Retract.mp3,129.19921875,"-79.715706,63.57736,-0.30918828,21.48608,15.336996,11.602477,2.5268693,6.754712,-1.5504974,4.9365563,-1.1884009,1.8789364,-0.9892867,2.6213903,2.3411572,7.385465,-0.9527778,1.6793094,-0.99820197,1.0853578",Search Failed,Search Failed
35,Rush Hour,ABSOLUTE.,Unarmed and Extremely Dangerous EP,2023,,Unknown to the Unknown,/mnt/d/UTTU/ABSOLUTE/ABSOLUTE. - Unarmed and Extremely Dangerous EP - 01 Rush Hour.mp3,143.5546875,"-100.65859,87.04488,16.83934,26.458189,-1.5641452,12.136025,1.8794657,5.019795,-1.0506575,8.774546,0.18658938,4.0156245,0.68385047,4.7173724,1.2004242,4.9676003,-0.7040987,2.6771364,0.7613454,4.665343",Electronic,House
36,Unarmed and Extremely Dangerous,ABSOLUTE.,Unarmed and Extremely Dangerous EP,2023,,Unknown to the Unknown,/mnt/d/UTTU/ABSOLUTE/ABSOLUTE. - Unarmed and Extremely Dangerous EP - 02 Unarmed and Extremely Dangerous.mp3,89.10290948275862,"-78.70973,65.553345,-9.817867,24.996656,7.7245836,21.489634,2.5672479,3.44367,-5.78804,-0.454997,-0.5807943,5.381206,1.319405,3.8004649,0.5551493,3.9912157,-0.07389317,0.34688264,-3.048989,2.6714547",Electronic,House
37,Papi’s Pumping Piano,ABSOLUTE.,Unarmed and Extremely Dangerous EP,2023,,Unknown to the Unknown,/mnt/d/UTTU/ABSOLUTE/ABSOLUTE. - Unarmed and Extremely Dangerous EP - 03 Papi’s Pumping Piano.mp3,135.99917763157896,"-58.21743,31.832582,13.222678,43.754284,13.8666115,21.470465,3.0305157,8.235239,2.1498003,6.3744597,-5.129365,2.0558593,-2.8325217,0.58954847,2.7931693,8.042857,0.38767534,4.048648,-6.0444655,1.9517003",Electronic,House
38,Drop Kick,ABSOLUTE.,Unarmed and Extremely Dangerous EP,2023,,Unknown to the Unknown,/mnt/d/UTTU/ABSOLUTE/ABSOLUTE. - Unarmed and Extremely Dangerous EP - 04 Drop Kick.mp3,135.99917763157896,"-147.25026,91.09314,31.777252,28.376791,2.925494,14.837265,6.2318525,5.766742,1.3612913,7.2002125,5.4549093,7.9108152,5.55826,0.9014842,-3.874932,2.447616,-0.35111812,0.8814024,-3.2930899,4.5588493",Electronic,House
39,D Question,Addison Groove & Bim Sanga Present Bags Inc.,Dance Trax Vol.17,2018,,Unknown to the Unknown,/mnt/d/UTTU/Addison Groove & Bim Sanga Present Bags Inc/Addison Groove & Bim Sanga Present Bags Inc. - Dance Trax Vol.17 - 01 D Question.mp3,129.19921875,"-72.06689,63.13978,3.8602424,21.910812,4.56237,16.686731,6.9626637,14.314883,2.7020717,9.556391,4.623396,6.945063,5.539579,7.0923357,2.5694056,5.376669,2.5987298,6.093682,2.563108,4.272972",Search Failed,Search Failed
40,Bashton Valed,Addison Groove & Bim Sanga Present Bags Inc.,Dance Trax Vol.17,2018,,Unknown to the Unknown,/mnt/d/UTTU/Addison Groove & Bim Sanga Present Bags Inc/Addison Groove & Bim Sanga Present Bags Inc. - Dance Trax Vol.17 - 02 Bashton Valed.mp3,83.35433467741936,"-59.690502,83.7646,24.355259,7.3765683,4.7204175,13.42078,5.477965,12.148227,6.5095897,11.315101,6.7885385,8.710932,1.0929564,5.4550176,5.6755743,6.8733664,-0.6881516,3.0206525,0.40547016,0.5782459",Search Failed,Search Failed
41,Tanga Toll,Addison Groove & Bim Sanga Present Bags Inc.,Dance Trax Vol.17,2018,,Unknown to the Unknown,/mnt/d/UTTU/Addison Groove & Bim Sanga Present Bags Inc/Addison Groove & Bim Sanga Present Bags Inc. - Dance Trax Vol.17 - 03 Tanga Toll.mp3,129.19921875,"-103.51088,70.901146,15.108615,1.4004668,-1.9991212,4.046666,-3.459756,6.221487,-3.3285995,3.2042942,-2.0198166,1.7922189,-0.186297,-0.2623885,-2.2223866,1.2782738,-3.5774276,-1.7746255,-2.4071221,1.8425679",Search Failed,Search Failed
42,Awkward Desire,Alan Fitzpatrick,,2020,,Unknown to the Unknown,/mnt/d/UTTU/Alan Fitzpatrick/Alan Fitzpatrick - Awkward Desire.mp3,123.046875,"-120.22114,88.257484,-12.527781,14.9022875,1.0901535,11.008231,-4.56248,0.27311996,-3.062423,4.380524,-0.98722935,4.812656,0.38981247,3.96972,3.5168655,9.102639,2.8015113,3.3975992,1.4145172,3.7065117",Electronic,Techno
